Platform,Name,Stars,Forks,Open Issues,Created At,Updated At,Size,Language
Gitea,DesignPatterns,0,0,0,2019-08-07T07:02:40Z,2019-08-07T09:15:22Z,448,C#
Gitea,testdb2,1,0,0,2019-08-07T08:14:00Z,2019-08-11T06:20:34Z,21,Go
Gitea,db2,1,0,0,2019-08-07T08:16:08Z,2019-09-27T06:38:22Z,21,
Gitea,blogv3,1,0,0,2019-02-27T04:40:18Z,2019-07-12T13:10:20Z,10222,HTML
Gitea,gopay,1,0,0,2024-08-03T16:51:33Z,2024-10-04T17:36:25Z,7901,Go
Gitea,jorm,0,0,0,2019-08-08T03:41:57Z,2019-08-09T04:24:25Z,54,Go
Gitea,unxz,2,0,0,2019-08-08T05:26:09Z,2019-08-09T09:09:22Z,33,Go
Gitea,my_code,0,0,0,2019-08-08T11:01:38Z,2019-08-08T11:01:43Z,57,Python
Gitea,go-astilectron,0,0,0,2019-02-27T04:44:14Z,2020-05-27T08:03:53Z,801,Go
Gitea,drone,1,0,0,2019-08-11T06:47:24Z,2019-09-27T06:47:21Z,22,
Gitea,traefik,1,0,0,2019-08-11T07:33:46Z,2019-09-27T06:47:37Z,21,Shell
Gitea,gitchain,1,0,0,2019-02-27T04:47:40Z,2014-06-16T13:13:08Z,374,Go
Gitea,preamble,0,0,0,2019-08-12T17:53:27Z,2020-08-17T18:12:48Z,33,Markdown
Gitea,tea,0,0,0,2019-08-12T22:57:17Z,2019-08-12T23:02:43Z,6679,Go
Gitea,FilesDeployFilesDeploy,0,0,0,2019-08-13T02:53:01Z,2019-08-13T02:53:07Z,121,C#
Gitea,GameServer,1,0,0,2019-08-13T02:54:51Z,2019-08-13T02:55:00Z,2057,Go
Gitea,ftpd,0,0,0,2019-08-13T02:58:29Z,2019-08-13T02:58:58Z,2081,Go
Gitea,centos-go-task,1,0,0,2019-08-13T07:03:22Z,2019-11-26T00:55:42Z,23,Dockerfile
Gitea,proposals,0,0,0,2019-02-27T04:49:35Z,2019-02-27T04:49:39Z,23,
Gitea,blogv2,1,0,0,2019-02-27T05:01:39Z,2019-07-12T13:03:05Z,9364,HTML
Gitea,NodeNotes,0,0,0,2019-08-14T18:30:19Z,2019-08-14T18:30:24Z,21,JavaScript
Gitea,gitea-blog,0,0,0,2019-08-14T20:44:38Z,2019-08-14T20:44:39Z,4420,HTML
Gitea,gitea-blog,0,0,0,2019-08-15T07:58:20Z,2019-08-15T08:02:35Z,4420,HTML
Gitea,cors,0,0,0,2019-08-15T12:38:14Z,2019-08-18T21:05:41Z,36,Go
Gitea,awesome-gitea,161,95,0,2019-08-15T23:40:26Z,2024-12-25T18:32:30Z,318,Markdown
Gitea,golang-sql-builder-benchmark,0,0,0,2019-02-27T05:18:23Z,2015-03-16T00:59:35Z,30,Go
Gitea,pinyougou,0,0,0,2019-08-19T05:14:32Z,2019-08-19T05:15:42Z,602,HTML
Gitea,go-opencv,0,0,0,2019-08-19T16:30:36Z,2019-08-19T16:31:41Z,2516,Go
Gitea,DuiLib_uex,1,0,0,2019-08-20T03:59:09Z,2019-08-20T09:23:18Z,216325,C++
Gitea,blog,0,0,0,2019-08-20T08:55:51Z,2019-08-20T08:55:51Z,4420,HTML
Gitea,LuaDui,0,0,0,2019-08-20T09:35:38Z,2019-08-20T09:40:07Z,9122,Lua
Gitea,minix1,0,0,1,2019-08-20T12:08:06Z,2017-11-13T13:56:50Z,472,C
Gitea,macaron-i18n,0,0,0,2019-08-21T20:32:54Z,2019-08-21T20:35:56Z,52,Go
Gitea,macaron-captcha,0,0,0,2019-08-21T20:39:44Z,2019-08-22T00:46:32Z,56,Go
Gitea,macaron-toolbox,0,0,0,2019-08-21T20:41:50Z,2019-08-21T20:58:11Z,52,Go
Gitea,macaron-binding,0,0,0,2019-08-21T20:48:04Z,2019-08-21T20:49:33Z,146,Go
Gitea,macaron-session,0,0,0,2019-08-21T20:52:49Z,2019-08-21T20:54:41Z,202,Go
Gitea,macaron-csrf,0,0,0,2019-08-22T02:05:08Z,2019-08-22T02:07:57Z,77,Go
Gitea,log4go,0,0,0,2019-02-27T05:30:34Z,2019-06-26T08:20:26Z,89,Go
Gitea,SDL2-experiments,0,0,0,2019-08-22T12:03:36Z,2020-10-21T10:41:35Z,26,C
Gitea,domino,0,0,0,2019-08-23T18:19:08Z,2019-10-27T13:09:14Z,295,ANTLR
Gitea,redis-vision,0,0,0,2019-08-23T19:30:36Z,2019-09-02T16:43:48Z,372,Kotlin
Gitea,macaron-cors,0,0,0,2019-08-25T02:46:50Z,2019-08-25T02:53:15Z,35,Go
Gitea,testrepo,0,0,0,2019-08-25T06:54:16Z,2019-08-25T06:57:57Z,20,Text
Gitea,sorttable,0,0,0,2019-08-26T00:57:58Z,2019-08-26T01:40:24Z,31,JavaScript
Gitea,awesome-gitea,1,0,0,2019-08-26T13:05:55Z,2023-05-16T08:03:22Z,52,Markdown
Gitea,calcsvc,0,0,0,2019-08-27T06:39:46Z,2019-10-09T03:07:13Z,61,Go
Gitea,gitea_sortt,2,0,0,2019-08-27T12:16:24Z,2020-06-24T00:32:49Z,78,JavaScript
Gitea,goget,0,0,0,2019-02-27T05:42:03Z,2019-06-26T08:15:06Z,23,Go
Gitea,cmd,0,0,0,2019-08-28T03:29:24Z,2019-09-12T09:40:58Z,3420,Go
Gitea,xduilib,0,0,0,2019-02-27T05:47:25Z,2019-02-27T05:47:33Z,286,C++
Gitea,flutter,0,0,0,2019-08-29T09:17:25Z,2019-08-29T09:18:05Z,264098,Dart
Gitea,sbsb,2,0,0,2019-08-29T19:19:02Z,2019-09-25T13:28:04Z,2129,Go
Gitea,phonearea,1,0,0,2019-02-27T05:47:53Z,2019-02-27T05:48:04Z,7720,Go
Gitea,go-sdk,0,0,0,2019-09-01T07:22:58Z,2019-09-01T07:23:00Z,483,Go
Gitea,horrible-todo,0,0,0,2019-09-01T16:38:53Z,2019-09-01T16:39:58Z,195,Python
Gitea,FineKit,0,0,0,2019-09-02T05:51:43Z,2019-09-02T05:52:45Z,516,Java
Gitea,server,2,0,12,2019-09-02T20:30:35Z,2023-02-01T20:35:19Z,488,JavaScript
Gitea,client,3,0,12,2019-09-02T20:31:19Z,2023-02-08T11:09:38Z,13882,Vue
Gitea,core,0,0,1,2019-09-02T21:40:55Z,2022-01-09T21:39:14Z,507,CSS
Gitea,localdistrib,0,0,5,2020-06-12T11:36:51Z,2020-06-14T17:00:48Z,96,Python
Gitea,basic_sdorfehs-bar,0,0,0,2020-06-13T00:06:31Z,2020-06-13T00:49:27Z,18,Shell
Gitea,xorm,0,0,0,2020-06-13T02:53:16Z,2020-06-13T02:53:22Z,16754,Go
Gitea,xorm,0,1,0,2020-06-13T03:06:22Z,2023-09-21T02:11:08Z,19989,Go
Gitea,reverse,0,0,0,2020-06-13T04:20:07Z,2020-06-13T04:20:09Z,4180,Go
Gitea,linux-docs,0,0,0,2020-06-13T20:15:55Z,2020-06-14T18:04:19Z,957,Markdown
Gitea,demo,0,0,1,2020-06-14T08:06:52Z,2020-06-14T08:09:50Z,18,PHP
Gitea,test_repo,0,0,0,2020-06-15T16:27:09Z,2020-06-15T16:54:18Z,21,
Gitea,test,0,0,0,2020-06-16T21:02:02Z,2020-06-16T21:07:49Z,17,
Gitea,jinzhengguo,0,0,0,2020-06-17T05:32:01Z,2020-06-17T05:37:56Z,8841,JavaScript
Gitea,geek-life,0,0,0,2020-06-18T08:29:20Z,2020-06-18T11:35:41Z,1404,Go
Gitea,reverse,0,0,0,2020-06-18T08:38:38Z,2020-06-18T08:39:22Z,4216,Go
Gitea,firstLearnCICD,0,0,0,2020-06-18T11:33:26Z,2020-06-18T11:40:42Z,17,
Gitea,xorm,0,0,0,2020-06-19T01:36:03Z,2020-06-19T01:36:09Z,16804,Go
Gitea,xorm,0,0,0,2020-06-19T13:09:34Z,2020-06-19T13:09:44Z,16804,Go
Gitea,builder,0,0,0,2020-06-19T14:42:05Z,2022-07-06T07:13:16Z,531,Go
Gitea,translit,0,0,0,2019-09-03T20:51:45Z,2019-11-17T19:19:18Z,216,Vue
